author,hit_name,institute,research_area
Xiong Zhou,Xiong Zhou,University of Regina,
Orchid Majumder,Orchid Majumder,"Senior CV/ML Engineer, Amazon","deep learning,computer vision"
Vineet Khare,,,
Yusuke Oda,Yusuke ODA,"Head of Machine Intelligence Unit, LegalForce","natural language processing,machine translation,software engineering"
Andrew Finch,Andrew Finch,NICT,"machine translation,transliteration,tagging,parsing,machine vision"
Minh-Thang Luong,Minh-Thang Luong,Staff Research Scientist at Google,"deep learning,natural language processing"
Katsuhito Sudoh,Katsuhito Sudoh,Nara Institute of Science and Technology (NAIST),"machine translation,natural language processing,spoken language processing"
Zhichu Lu,Zhichu Lu,Carnegie Mellon University,
Igor Labutov,Igor Labutov,Carnegie Mellon University,"machine learning,education,data mining,natural language processing"
Aaron M. Roth,,,
Samantha Reig,Samantha Reig,"PhD Student, Carnegie Mellon University",
Umang Bhatt,Umang Bhatt,University of Cambridge,"machine learning,artificial intelligence,explainability"
Jonathan Shulgach,Jonathan Shulgach,"PhD Student, Carnegie Mellon University","brain computer interfaces,neuroprosthetics,robotics"
Tamara Amin,,,
Afsaneh Doryab,Afsaneh Doryab,"Assistant Professor, University of Virginia","ubiquitous and mobile computing,machine learning and data mining,health informatics"
Fei Fang,Fei Fang,Carnegie Mellon University,"artificial intelligence,game theory,optimization"
Sneha Aenugu,Sneha Aenugu,"Graduate Student, Caltech","reinforcement learning,decision making,computational cognitive neuroscience"
Sravan Babu Bodapati,Sravan Babu Bodapati,Amazon.com; Amazon Web Services,"nlp,deep learning,automatic speech recognition"
Spandana Gella,Spandana Gella,Amazon AI,"conversational modeling,bias in language models,multimodal understanding"
Christian Hadiwinoto,Christian Hadiwinoto,"Engineer, Shopee","natural language processing,machine learning,artificial intelligence"
Wee Chung Gan,,,
Jeroen Van Hautte,Jeroen Van Hautte,CTO at TechWolf,"natural language processing,machine learning,ai"
Guy Emerson,Guy Emerson,University of Cambridge,"machine learning,computational linguistics,theoretical linguistics,semantics,natural language processing"
Marek Rei,Marek Rei,"Lecturer, Imperial College London","machine learning,natural language processing,neural networks,compositional models,language modeling"
Mamdouh Farouk,,,
Erik R. Altman,,,
Raheel Qader,Raheel Qader,Lingua Custodia,natural language processing
Cyril Labbé,,,
Omri Koshorek,,,
Yichu Zhou,Yichu Zhou,"PhD student, School of Computing, University of Utah","natural language processing,machine learning,ai"
Yifu Sun,Yifu Sun,Texas A&M University,"building energy,solar energy,fault detection"
Vaibhav Jain,Vaibhav Jain,Unknown affiliation,finance
Ruchika Malhotra,Ruchika Malhotra,Delhi Technological University,"software engineering,empirical software engineering,application of machine learning,sbse,software quality & testing"
Sanskar Jain,Sanskar Jain,"Department of Pharmaceutical Sciences, Dr. Hari Singh Gour sagar university",computer based drug design
Nishant Tanwar,,,
Xingbang Liu,,,
Janyl Jumadinova,Janyl Jumadinova,"Associate Professor of Computer Science, Allegheny College","multi-agent systems,multi-robot systems,artificial intelligence,information aggregation,prediction markets"
Elisavet Palogiannidi,Elisavet Palogiannidi,"Machine Learning Engineer, SG Digital",
Ioannis Gkinis,Ioannis Gkinis,Omilia Conversational Intelligence,
George Mastrapas,,,
Petr Mizera,,,
Themos Stafylakis,Themos Stafylakis,Omilia Conversational Intelligence,"voice biometrics,speaker recognition,audiovisual asr,machine learning"
Jaeyoung Kim,Jaeyoung Kim,"VUNO, INC.",deep learning
Jungwon Lee,Jungwon Lee,"Vice President, Samsung US R&D","signal processing,wireless communications,machine learning,deep learning"
Emilio Parisotto,Emilio Parisotto,,
H. Francis Song,H Francis Song,DeepMind,"neuroscience,machine learning,condensed matter physics"
Jack W. Rae,Jack W Rae,OpenAI,"memory,language modelling"
Razvan Pascanu,Razvan Pascanu,Research Scientist at Google DeepMind,"machine learning,artificial intelligence,recurrent neural networks,deep learning,reinforcement learning"
Caglar Gulcehre,Caglar Gulcehre,Research Scientist at Deepmind and PhD from MILA,"machine learning,reinforcement learning,cognitive science,artificial intelligence"
Siddhant M. Jayakumar,Siddhant M. Jayakumar,DeepMind,"deep learning,reinforcement learning"
Max Jaderberg,Max Jaderberg,Isomorphic Labs,machine learning
Raphael Lopez Kaufman,,,
Aidan Clark,Aidan Clark,OpenAI,
Seb Noury,Seb Noury,DeepMind,"high performance computing,machine learning,computer graphics"
Nicolas Heess,Nicolas Heess,DeepMind,
Raia Hadsell,Raia Hadsell,Google DeepMind,"artificial intelligence,deep learning,robotics"
Margaret Mitchell,Margaret Mitchell,"Research Scientist, Hugging Face","natural language processing,natural language generation,vision to language,ethics in ai"
Jan Niehues,Jan Niehues,"Institute for Anthropomatics and Robotics (IAR), Karlsruhe Institute for Technology (KIT)",natural language processing - machine translation
Ngoc-Quan Pham,Ngoc Quan Pham,Karlsruhe Institute of Technology,natural language processing
Xinyue Xing,Xin Yue (岳鑫),"Guangdong University of Technology (GDUT, 广东工业大学)","fuel cell,noble metal free electrocatalysts"
Bingzhang Lu,Bingzhang Lu,Northwestern University,"nanomaterials,electrocatalyst,dft calculation,x-ray absorption"
Danni Ma,Danni Ma,University of Pennsylvania,
Behzad Golshan,Behzad Golshan,Megagon Labs,"natural language processing,machine learning,data mining"
Wang-Chiew Tan,Wang-Chiew Tan,Facebook AI,"data management,data provenance,data integration,natural language processing"
Lysandre Debut,Lysandre Debut,"Machine Learning Engineer, Hugging Face","natural language processing,computational linguistics,open source"
Julien Chaumond,Julien Chaumond,Hugging Face,"natural language processing,probabilistic languages,transfer learning"
Clement Delangue,Clément Delangue,Hugging Face,nlp
Anthony Moi,Anthony Muliwa,"Chemical Engineering, Moi University",
Pierric Cistac,,,
Tim Rault,,,
Rémi Louf,Rémi Louf,🤗 Hugging Face Inc.,"bayesian statistics,symbolic computing,statistical physics,graphs"
Morgan Funtowicz,Morgan Funtowicz,Hugging Face,"machine learning,deep learning,nlp,robotics"
Joe Davison,Joe Davison,Enveda Biosciences,"machine learning,natural language processing,structure elucidation,metabolomics"
Sam Shleifer,Sam Shleifer,Facebook AI Research,"natural_language_processing,deep learning"
Patrick von Platen,,,
Clara Ma,Clara O Sailer,"Research Fellow, Massachusetts General Hospital, Harvard Medical School","primary polydipsia,central diabetes insipidus,copeptin,vasopressin,oxytocin"
Julien Plu,Julien Plu,"PHD Student, Eurecom","semantic web,machine learning,natural language processing,named entities recognition"
Teven Le Scao,Teven Le Scao,Hugging Face,"natural language processing,machine learning"
Sylvain Gugger,Sylvain Gugger,Hugging Face,deep learning
Mariama Drame,,,
Quentin Lhoest,Quentin Lhoest,Hugging Face,"deep learning,natural language processing,computer vision,speech,data processing"
Brendan Shillingford,Brendan Shillingford,DeepMind,machine learning
Tiffany J. Callahan,Tiffany J Callahan,Columbia University,"phenotyping,knowledge engineering,nlp,representation learning,graphs"
Harrison Pielke-Lombardo,Harrison Pielke-Lombardo,"PhD Candidate, Anschutz Medical Campus at University of Colorado","computational biology,computational analogy,artificial intelligence,pharmacoinformatics,network inference"
Ignacio J. Tripodi,Ignacio J. Tripodi,"Sciome, LLC","genomics,computational toxicology,mechanistic inference,semantic knowledge representation,natural language processing"
Lawrence E. Hunter,,,
Cyprien de Masson d'Autume,Cyprien de Masson d'Autume,DeepMind,
Wang Ling,Ling Wang,"Professor of Automation, Tsinghua University","scheduling,optimization"
Md Akmal Haidar,Md Akmal Haidar,Nuance Communications,"speech recognition,deep learning,machine learning,natural language processing"
Shira Guskin,,,
Moshe Wasserblat,,,
Ülkü Meteriz,Ülkü Meteriz Yıldıran,University of Central Florida,"security&privacy,wearable technologies,machine learning"
Necip Fazıl Yıldıran,Necip Fazıl Yıldıran,University of Central Florida,"programming languages,software engineering,security,systems,formal verification"
Aziz Mohaisen,,,
Kevin J Liang,Kevin J Liang,Research Scientist @ Facebook,"deep learning,computer vision,continual learning"
Simon Hengchen,Simon Hengchen,"Lecturer, University of Geneva","lexical semantic change,natural language processing,digital humanities"
Amirhossein Tebbifakhr,Amirhossein Tebbifakhr,Unknown affiliation,
Samuel Rönnqvist,Samuel Rönnqvist,"TurkuNLP, University of Turku",
Sourav Dutta,Sourav Dutta,"Components Research, Intel","nanoelectronics,spintronics,phase change material,ferroelectrics,neuromorphic computing"
Monarch Parmar,,,
Pranjali Jain,Pranjali Jain,"University of California, Santa Barbara","computer architecture,natural language processing,information retrieval"
P Jayakrishna Sahit,,,
Soham Pachpande,Soham Pachpande,"Student, UC San Diego & Alumni, IIT Gandhinagar",
Sourabh Majumdar,SOURABH MAJUMDAR,"Graduate Student, University at Buffalo, The State University of New York",conversational ai
Aditya Malte,Aditya Malte,Machine Learning Software Engineering  | University of Southern California,"machine learning,data mining,natural language processing,deep learning"
Pratik Ratadiya,Pratik Ratadiya,MS CSE student at UC San Diego,"natural language processing,machine learning,data mining,artificial intelligence"
Yannis Assael,Yannis Assael,"Staff Research Scientist, Google DeepMind","machine learning,artificial intelligence"
Thea Sommerschield,Thea Sommerschield,Ca' Foscari University of Venice,"epigraphy,machine learning,nlp,ancient history,greek religion"
Jonathan Prag,Jonathan Prag,"Professor of Ancient History, University of Oxford","ancient history,roman history,ancient sicily,epigraphy,digital humanities"
Pengfei Li,Pengfei Li,"Assistant Professor, Loyola University Chicago","force fields,amber,metalloprotein,metalloenzyme,proton-coupled electron transfer"
Kezhi Mao,Kezhi Mao,"Professor of Machine Learning, Nanyang Technological University","machine,natural language processing,image processing,information fusion"
Xuefeng Yang,Xuefeng Yang,NTU,
Vivek Gupta,Vivek Gupta,SDE2 at Amazon,computer vision
Andreas Stahlbauer,Andreas Stahlbauer,University of Passau,"software analysis,software testing,software verification,formal methods"
Donglin Zhan,,,
Shiyu Yi,,,
Dongli Xu,Dongli Xu,USYD,computer vision
Xiao Yu,Xiaoyu Hu,"Professor & Director, Institute for Immunology, Tsinghua University",immunology
Denglin Jiang,,,
Siqi Yu,Siqi Yu,"Chemistry researcher, Lehigh University",chemistry
Haoting Zhang,Haoting Zhang,"PhD Student, University of Cambridge, Health Data Research UK","machine learning,healthcare"
Wenfang Shangguan,,,
Weihua Zhang,Weihua Zhang,"College of Engineering and Applied Sciences, Nanjing University","plasmonics,surface-enhanced spectroscopy,near-field optics,molecular spectroscopy,optical trapping"
David Chen,David Chen,"Professor of Chemistry, Seoul National University",organic synthesis
Kevin J Peterson,Kevin J. Peterson,Dartmouth College,
Feichen Shen,"Feichen Shen, PhD, FAMIA","Sr. Principal Scientist at Bristol Myers Squibb,  Adjunct Associate Professor at Mayo Clinic","ai in healthcare,machine/deep learning,biomedical informatics"
Yiqing Zhao,Yiqing Zhao,Mayo Clinic,"biomedical informatics,clinical nlp,knowledge modeling,real-world evidence,precision medicine"
Sunghwan Sohn,Sunghwan Sohn,"Associate Professor of Biomedical Informatics, Mayo Clinic","medical informatics,text analytics,natural language processing,machine learning"
Pulkit Parikh,Pulkit Parikh,IIIT Hyderabad,"machine learning,natural language processing"
Harika Abburi,Harika Abburi,"Research Scholar, IIIT Hyderabad",
Pinkesh Badjatiya,Pinkesh Badjatiya,Applied Scientist 2 @ Microsoft,"machine learning,bias in ml,deep learning"
Radhika Krishnan,Radhika Krishnan,Infection prevention  &  control,infection control
Niyati Chhaya,Niyati Chhaya,Adobe Research India,"computational linguistics,natural language processing,machine learning,affective analysis,content generation"
Ouyu Lan,Ouyu Lan,Unknown affiliation,"natural language processing,machine learning"
Xiao Huang,Xiao Huang,Assistant Professor at The Hong Kong Polytechnic University,"graph neural networks,knowledge graphs,network anomaly detection,recommender systems"
He Jiang,"HE, Jian-Bo","School of Chemistry and Chemical Engineering, Hefei Universtiy of Technology","electrochemistry,physical chemistry,analytical chemistry"
Liyuan Liu,Liyuan Liu,Microsoft Research,"natural language processing,data mining and machine learning"
Manish Munikar,Manish Munikar,University of Texas at Arlington,"machine learning,data science,distributed system,cloud computing,big data technologies"
Sushil Shakya,Sushil Shakya,"Institute of Engineering, Pulchowk Campus","natural language processing,reinforcement learning"
Aakash Shrestha,,,
Awais Khan Jumani,Awais Khan Jumani,Assistant Professor,"artificial intelligence,cloud computing,blockchain"
Mashooque Ahmed Memon,,,
Fida Hussain Khoso,Fida Hussain Khoso,Dawood University of Engineering & Technology Karachi Pakistan,"internet of things,machine learning"
Anwar Ali Sanjrani,Anwar Ali Sanjrani,"University of Balochistan, Quetta-Pakistan","artificial intelligence,text recognition,natural language processing,machine learning"
Safeeullah Soomro,"Dr. Safeeullah Soomro, Postdoc(EU), SFHEA(UK)",Virginia State University USA,"program analysis - software engineering - software debugging,data science,cyber security and maintenance- iot and big data ana"
Wojciech Kryściński,Wojciech Kryściński,Salesforce Research,"machine learning,deep learning,natural language processing,artificial intelligence"
Bryan McCann,Bryan McCann,You.com,
Marzieh Mozafari,Marzieh Mozafari,"PhD candidate, Institut Mines-Télécom","natural language processing,deep learning,machine learning,social media analysis"
Noel Crespi,Noel Crespi,"Institut Polytechnique de Paris, Institut Mines-Telecom, Telecom SudParis","artifical intelligence,iot,softwarisation"
P. Santhanam,P Santhanam,IBM,
Eitan Farchi,Eitan Farchi,IBM Research Lab in Haifa,"test optimization,reviews,concurrency"
Victor Pankratius,,,
Leila Ribeiro,Leila Ribeiro,"Professor of Computer Science, Universidade Federal do Rio Grande do Sul, Brazil","theoretical informatics,software engineering,computer science education,bioinformatics"
Lucio Duarte,,,
Rodrigo Machado,Rodrigo Machado,CONICET - IFIR - UNR - FCEIA,"ferroelectrics,piezoelectrics"
Andrei Costa,Andrew P Costa,"Associate Professor and Schlegel Chair, McMaster University","geriatrics,home care,long-term care,emergency departments"
Érika Cota,Erika Cota,Universidade Federal do Rio Grande do Sul,"test of embedded systems,software test,hardware test,design for test"
Jonas Bezerra,,,
Colin Graber,Colin Graber,University of Illinois at Urbana-Champaign,
Alexander Schwing,Alexander Schwing,University of Illinois at Urbana-Champaign,"machine learning,computer vision"
Yue Ma,Yue Ma,"马跃（馬躍）金融讲席教授：Yeung Kin Man Endowed Chair Professor of Finance, City University of Hong","empirical corporate finance,financial networks,fintechs,china studies,exchange rate"
Xiaojie Wang,Xiaojie Wang,Ainnocence,neuroscience
Zhenjiang Dong,Shanling Dong,Zhejiang University,"markov jump systems,fuzzy systems,networked control systems,multi-agent systems,optimization"
Hong Chen,Hao Chen,"Assistant Professor, The Hong Kong University of Science and Technology","medical image computing,deep learning,computational pathology,label-efficient learning"
Peter J. Liu,Peter J. Liu,Google Brain,machine learning
David Donahue,David Donahue,University of Massachusetts Lowell,"machine learning,natural language processing"
Vladislav Lialin,Vladislav Lialin,University of Massachusetts Lowell,"natural language processing,meta-learning"
Anna Rumshisky,Anna Rumshisky,UMass Lowell,"natural language processing,machine learning"
Tony Hey,Tony Hey,Chief Data Scientist STFC,"hpc,particle physics,data-intensive science"
Keith Butler,Keith  Tobias Butler,"Staff Scientist, SciML, Scientific Computing Division, Rutherford Appleton Laboratories","machine learning,materials science,energy materials,interfaces"
Sam Jackson,Sam Jackson,Unknown affiliation,
Jeyarajan Thiyagalingam,,,
Alexandre Bérard,Alexandre Bérard,Naver Labs Europe,"machine translation,deep learning,natural language processing"
Ioan Calapodescu,,,
Claude Roux,Claude Roux,"Distinguished Professor of Forensic Science, University of Technology Sydney","forensic science,chemical criminalistics,fingerprints,forensic intelligence"
Jean-Luc Meunier,Jean-Luc Meunier,Naver Labs Europe,computer science
Vassilina Nikoulina,Vassilina Nikoulina,Unknown affiliation,
Ibéria Medeiros,Ibéria Medeiros,"LASIGE, Departamento de Informática, Faculdade de Ciências, Universidade de Lisboa","software security,vulnerability detection,static analysis,machine learning,concolic execution"
Nuno Neves,Nuno Neves,"LASIGE, Dep. de Informática, Faculdade de Ciências, Universidade de Lisboa","dependable systems,software security,intrusion tolerance,cloud security"
Miguel Correia,Miguel Correia,"INESC-ID, Instituto Superior Técnico, Universidade de Lisboa","blockchain and byzantine consensus,cloud security and dependability,software security,trusted computing,security analytics"
Jorge C. Lucero,Jorge C. Lucero,"Professor of Computer Science, University of Brasilia","voice,speech,mathematical modeling"
Ofir Zafrir,Ofir Zafrir,"Intel Labs, Technion - IIT","natural language processing,machine learning,computer engineering"
Guy Boudoukh,,,
Seyedmostafa Sheikhalishahi,,,
Vevake Balaraman,Vevake Balaraman,"University of Trento, Fondazione Bruno Kessler",
Venet Osmani,,,
J. S. McCarley,,,
Rishav Chakravarti,Rishav Chakravarti,IBM Watson,"information retrieval,machine reading comprehension,question answering,natural language processing"
Jun Saito,Jun Saito,"Senior Research Engineer, Adobe Research",
Yugo Murawaki,Yugo Murawaki,Kyoto University,
Liliang Ren,Liliang Ren,University of Illinois at Urbana-Champaign,natural language processing
Jianmo Ni,Jianmo Ni,Google,"natural language processing,recommender system"
Soravit Changpinyo,"Soravit ""Beer"" Changpinyo",Google Research,"computer vision,natural language processing,machine learning"
Piyush Sharma,Piyush Sharma,"Associate Professor, Hong Kong Polytechnic University","marketing,consumer behavior,self-regulation,counterfeit,services"
Radu Soricut,Radu Soricut,Google,"natural language processing,machine translation,language generation,syntactic parsing,discourse parsing"
Dallas Card,Dallas Card,University of Michigan,"machine learning,natural language processing,computational social science,ethics"
Muhammad Usman Ghani Khan,Muhammad Usman Ghani Khan,"Professor of Computer Science, University of Engineering & Technology, Lahore","computer vision,image processing,natural language processing"
Muhammad Imran Malik,Muhammad Imran Malik,"National University of Sciences & Technology, Islamabad, Pakistan","machine learning,biometrics and automated forensic document analysis"
Andreas Dengel,Andreas Dengel,"Professor of Computer Science, University of Kaiserslautern & Executive Director, DFKI","artificial intelligence,machine learning,document analysis,semantic technologies"
Sheraz Ahmed,Sheraz Ahmed,German Research Center for Artificial Intelligence - DFKI GmbH,
Prabhakar Gupta,Prabhakar Gupta,"Professor Computer Science & Mathematics, SRMS College of Engg & Tech Bareilly",approximation theory and soft computing
Mayank Sharma,Mayank Sharma,Vyntelligence,"data science,decision-making under uncertainty,applied probability,optimization,information theory"
Kartik Pitale,,,
Keshav Kumar,Keshav Kumar,"Assistant Professor, Chandigarh University","cryptography,vlsi,fpga,green communication,wireless sensor networks"
Yew Ken Chia,Chia Yew Ken,Singapore University of Technology and Design,natural language processing
Sam Witteveen,Sam Witteveen,Red Dragon AI,machine learning
Martin Andrews,Martin Andrews,"Head of AI, Red Dragon AI","artificial intelligence,deep learning,genetic programming"
Maja Popovic,Maja Popovic,ADAPT Centre @ Dublin City University,"natural language processing,machine translation"
Gideon Maillette de Buy Wenniger,Gideon Maillette de Buy Wenniger,"Postdoctoral Researcher, University of Groningen","machine translation,natural language processing,handwriting recognition,parsing,artificial intelligence"
Xianggen Liu,Xianggen Liu,Tsinghua University,"deep learning,natural language processing"
Lili Mou,Lili Mou,"Assistant Professor, University of Alberta","natural language processing,machine learning"
Sen Song,Sen Song,"Laboratory of Brain and Intelligence, Dept of Biomedical Engineering, Tsinghua University","brain-inspired computation,computational neurocience,artificial general intelligence,science of happiness,neural circuits"
Changlin Wan,Changlin Wan,Purdue University,"computational biology,data mining,machine learning"
Wennan Chang,Wennan Chang,Kite Pharma,"bioinformatics,machine learning,computational biology,algorithms"
Tong Zhao,Tong Zhao,Xi`an University of technology,"fluid,measurement"
Mengya Li,Mengya Li,Oak Ridge National Laboratory,"energy storage,carbon nanomaterials,3d carbon architecture,sodium-ion battery,lithium-sulfur battery"
Sha Cao,Sha Cao,Uppsala University,microbiology
Marc Hübner,Marc Hübner,"Researcher, German Research Center for Artificial Intelligence",information extraction
Leonhard Hennig,Leonhard Hennig,"Senior Researcher, Deutsches Forschungszentrum für Künstliche Intelligenz","natural language processing,information extraction,machine learning"
Ting-Rui Chiang,Ting-Rui Chiang,Carnegie Mellon University,
Hao-Tong Ye,Hao-Tong Ye,Master student at National Taiwan University,"natural language processing,dialogue systems"
Lisa Graziani,Lisa Graziani,"University of Florence, University of Siena","artificial intelligence,machine learning,affective computing"
Stefano Melacci,Stefano Melacci,"Associate Professor, University of Siena, Italy","machine learning,artificial intelligence,natural language processing,computer vision"
Marco Gori,Marco Gori,"Professor of Computer Science, University of Siena","artificial intelligence,machine learning,pattern recognition,web mining"
Saurabh Verma,Saurabh Verma,Facebook Research,"deep learning,graph representation learning"
Zhi-Li Zhang,Zhi-Li Zhang,Distinguished McKnight University Professor and Qwest Chair Professor,"networking,internet techology,systems,data mining & machine learning,theory"
Raul Puri,Raul Puri,"Research Scientist, OpenAI","deep learning,natural language processing,meta learning"
Seungyoung Lim,,,
Myungji Kim,Kyung Do Kim,"Assistant Professor, Department of Bioscience and Bioinformatics, Myongji University","soybean,genomics,epigenomics"
Jooyoul Lee,,,
Janshu Chen,Junshu Chen,PhD candidate in National University of Singapore,condense matter
Dong Yu,Dong Yu,"Associate Professor of Physics, Univ. of California, Davis","condensed matter physics,nanomaterials,optoelectronics"
Javier S. Turek,,,
Shailee Jain,Shailee  Jain,The University of Texas at Austin,"computational neuroscience,machine learning,natural language processing"
Mihai Capota,Mihai Capotă,Intel Labs,
Alexander G. Huth,,,
Theodore L. Willke,,,
Hafsa Shareef Dar,Hafsa Shareef Dar,"Lecturer of Software Engineering, University of Gujrat","requirements engineering,gamification,software engineering,testing,hci"
M. Ikramullah Lali,,,
Moin Ul Din,Moin Uddin,Aligarh Muslim University,botany
Khalid Mahmood Malik,Khalid Mahmood Malik,"Associate Professor, Oakland University | Senior Member IEEE",ai in cybersecurity & healthcare
Syed Ahmad Chan Bukhari,Syed Ahmad Chan Bukhari,"Asst. Professor and Director Healthcare Informatics at St. John's University, New York","biomedical informatics,artificial intelligence,semantic web,data science,medical image processing"
Yash Srivastava,Yash Srivastava,"B. Tech student, United College of Engineering and Research",coding
Vaishnav Murali,Vaishnav Murali,"Associate Machine Learning Engineer, SpringML","deep learning,computer vision,python,software engineering"
Shiv Ram Dubey,Shiv Ram Dubey,"Indian Institute of Information Technology (IIIT), Allahabad","computer vision,deep learning,biometrics,medical imaging"
Snehasis Mukherjee,Snehasis Mukherjee,"Shiv Nadar University, Delhi NCR","computer vision,image/ video processing,machine learning and graphics"
Zhengxin Yang,Zhengxin Yang (杨郑鑫),"Institute of Computing Technology, Chinese Academy of Sciences","benchmarks,healthcare,natural language processing,artificial intelligence"
Shuhao Gu,shuhao gu,CAS/ICT,nlp mt
Yang Feng,Yan Feng,Shanghai Institute of Optics and Fine Mechanics,"raman lasers,fiber lasers,nonlinear photonics,laser guide star,optical magnetometry"
Noémien Kocher,,,
Christian Scuito,Christian Sciuto,Daskell,
Lorenzo Tarantino,,,
Alexandros Lazaridis,Alexandros Lazaridis,Swisscom AG,"digital signal processing (dsp),speech processing,human-computer interaction (hci),speech synthesis (tts),emotional/affectiv"
Zhongyang Li,Zhongyang Li,University of Connecticut,"probability,statistical mechanics,combinatorics"
Antonio de la Torre,Antonio Della Torre,"Istituto per la Microelettronica e Microsistemi - IMM/CNR, Italy","micro e nano-elettronica,microsistemi"
Tomas Veloz,Tomas Veloz,"Postdoctoral Researcher, Vrije Universiteit Brussel","reaction networks,quantum cognition,interdisciplinary science,emergence,worldviews"
Xiazhao Zhao,Xia Zhao,University of Georgia,information systems
Balaji Vasan Srinivasan,Balaji Vasan Srinivasan,"Adobe Research, India","natural language generation,multimodal content,social network analysis,speaker recognition,scalable machine learning"
Bin Bi,BIn Chen,Jiaxing University,cv dl
Jiangnan Xia,Yuanyuan Xia,Jiangnan University,synthetic biology
Bernhard Lutz,Bernhard Lutz,"University of Freiburg, Chair for Information Systems Research","data science,machine learning,information systems,decision support systems"
Nicolas Pröllochs,Nicolas Pröllochs,JLU Giessen,"data science,machine learning,business analytics,computational social science"
Dirk Neumann,Dirk Neumann,Albert-Ludwigs-Universität Freiburg,"information systems,business analytics,machine learning"
Yun Wang,Yun Wang,Griffith University,"interface/surface science,materials design,catalysis,renewable energy,computational materials science/engineering"
Yiping Peng,,,
Junfan Chen,Junfan Chen,"Ph.D. candidate of Computer Science, Beihang University","natural language processing,knowledge graph,information extraction,dialogue system"
Richong Zhang,Richong Zhang,"Associate Professor of Computer Science, Beihang University","data mining,recommender system,social computing"
Yongyi Mao,Yongyi Mao,"Professor of Electrical Engineering and Computer Science, University of Ottawa","communications,machine learning,algorithms"
Hongyu Guo,Hongyu Guo,University of Colorado Boulder,"atmospheric chemistry,aerosol acidity,biomass burning organic aerosols,aerosol mass spectrometer,brown carbon"
Jie Xu,Jie Xu,"State Key Laboratory of Catalysis, Dalian National Laboratory for Clean Energy, Dalian Institute of",catalysis
Haoxiang Zhang,Haoxiang Zhang,"Centre for Software Excellence at Huawei, Canada","empirical software engineering,mining software repositories,intelligent software analytics,software evolution"
Jacob Moghtader,,,
Allen Wu,Allen Wu,Hong Kong University of Science and Technology,"service operations,queuing,search,bundling,supply chain management"
Joshua Feldman,Joshua Feldman,Harvard University,
Chengzhu Yu,Chengzhu Yu （俞承柱）,Amazon,"speech synthesis,multiomdal synthesis,asr,speaker recognition"
Heng Lu,Heng Lu,Tencent AILab,"speech synthesis,speech recognition,nlp,deep learning,machine learning"
Na Hu,Na Hu,"College of Psychology and Cognitive Science, East China Normal University","interpersonal emotion regulation,adolescence,hyperscanning,fnirs,attachment"
Meng Yu,Meng Yu,Southern Medical Univeristy,"drug delivery,biomaterials,nanomedicine"
Chao Weng,Chao Weng,Tencent AI Lab,"speech recognition,speech synthesis,speech enhancement,speech separation,speaker diarization"
Kun Xu,Kun Xu,"Chair Professor, Mathematics Department, Hong Kong University of Science and Technology","computational fluid dynamics,rarefied flows"
Deyi Tuo,,,
Shiyin Kang,Shiyin Kang,Huya.com,"speech synthesis,voice conversion,speech recognition,machine learning,high performance computing"
Guangzhi Lei,Zhu Lei,"Guangxi Academy of Sciences, Chengdu Bird Watching Society","conservation,birds,mammals,citizen science"
Dan Su,Dan Su,Sichuan University,structural biology
Tuan Lai,Tuan M. Lai,"University of Illinois Urbana-Champaign, AI Resident at Google","machine learning,natural language processing"
Yuki Arase,Yuki Arase,Osaka University,"natural language processing,paraphrasing,representation learning,computer-assisted language learning"
Junichi Tsujii,Junichi Tsujii,"Artificial Intelligence Research Center, AIST","artificial intelligence,natural language processing,text mining,machine translation"
Gábor Melis,Gábor Melis,"Research Scientist, DeepMind","artificial intelligence,natural language processing"
Tomáš Kočiský,Tomáš Kočiský,DeepMind,"machine learning,computational linguistics,natural language processing"
Ishita Dasgupta,Ishita Dasgupta,"Research Scientist, DeepMind New York City","machine learning,computational cognitive science"
Demi Guo,Demi Guo,Harvard University,
Samuel J. Gershman,,,
Paulo Quaresma,Paulo Quaresma,Universidade de Évora,"natural language processing,artificial intelligence"
Vitor Beires Nogueira,Vítor Beires Nogueira,"Professor Auxiliar, Departamento Informática, Universidade de Évora.","logic programming,ontology engineering,temporal reasoning."
Kashyap Raiyani,Kashyap Raiyani,Researcher at University of Évora,"cloud computing,machine learning,data analysis"
Roy Bayot,,,
Teresa Gonçalves,Teresa Gonçalves,"Faculty of Medicine, University of Coimbra; Center for Neurosciences and Cell Biology","life sciences,microbiology,medical mycology,fungal pathogenesis,cellular biology"
Stratos Xenouleas,Stratos Xenouleas,"Researcher, Athens University of Economics and Business","natural language processing,machine learning,artificial intelligence"
Esra Erdem,Esra Erdem,Sabanci University,"artificial intelligence,knowledge representation and reasoning,cognitive robotics"
Giovambattista Ianni,Giovambattista Ianni,"Professor of Computer Science, Università della Calabria","artificial intelligence,knowledge representation,semantic web,computer security"
Daniela Inclezan,Daniela Inclezan,"Assistant Professor of Computer Science and Software Engineering, Miami University",artificial intelligence
German Vidal,German Vidal,"Prof. Computer Science, MIST, VRAIN, Universitat Politècnica de València","logic programming,explainable artificial intelligence,debugging,software testing and verification,reversible computation"
Alicia Villanueva,Alicia Villanueva,"Assistant Professor of Computer Science, Universitat Politècnica de València","programming languages,formal methods,abstract interpretation,semantics of languages,concurrency"
Marina De Vos,Marina De Vos,University of Bath,"logic programming,multi-agent systems,declarative programming"
